fear_greed_date_utc,fear_greed_market_date,fear_greed_source_timestamp_utc,fear_greed_value,fear_greed_rating,fear_greed_change_1d,fear_greed_change_5d,fear_greed_sma_5d,fear_greed_sma_20d,fear_greed_zscore_20d,fear_greed_day_of_week,spx_date,spx_match_lag_calendar_days,spx_same_trading_day,spx_day_of_week,spx_symbol,spx_open,spx_high,spx_low,spx_close,spx_adj_close,spx_volume,spx_previous_close,spx_daily_return_pct,spx_gap_pct,spx_intraday_return_pct,spx_range_pct,spx_return_1d_pct,spx_return_5d_pct,spx_return_10d_pct,spx_return_20d_pct,spx_return_60d_pct,spx_return_252d_pct,spx_sma_20d,spx_close_vs_sma_20d_pct,spx_sma_50d,spx_close_vs_sma_50d_pct,spx_sma_200d,spx_close_vs_sma_200d_pct,spx_volatility_20d_annualized_pct,spx_drawdown_from_252d_high_pct,spx_data_source,outcome_forward_return_1d_pct,outcome_forward_return_5d_pct,outcome_forward_return_10d_pct,outcome_forward_return_20d_pct,outcome_forward_return_60d_pct,outcome_forward_max_drawdown_5d_pct,outcome_forward_max_gain_5d_pct,outcome_forward_max_drawdown_20d_pct,outcome_forward_max_gain_20d_pct,outcome_forward_max_drawdown_60d_pct,outcome_forward_max_gain_60d_pct
2021-02-01,2021-01-31,2021-02-01T00:00:00Z,43.400000,fear,,,,,,Sunday,2021-01-29,2,False,Friday,^GSPC,3778.050049,3778.050049,3694.120117,3714.239990,3714.239990,6643370000,3787.379883,-1.931148,-0.246340,-1.688968,2.216042,-1.931148,-3.312013,-2.141989,-0.476952,12.204553,13.112810,3791.864514,-2.047133,3715.948013,-0.045965,3349.974354,10.873684,16.761905,-3.660361,Yahoo Finance via yfinance,1.605177,4.646713,5.939037,5.050295,12.720778,0.306392,4.854831,0.306392,6.359038,0.245006,12.921889
2021-02-02,2021-02-01,2021-02-02T00:00:00Z,60.466667,greed,17.066667,,,,,Monday,2021-02-01,0,True,Monday,^GSPC,3731.169922,3784.320068,3725.620117,3773.860107,3773.860107,5436230000,3714.239990,1.605177,0.455811,1.144150,1.580403,1.605177,-2.113940,0.148878,0.473634,12.011902,17.000052,3792.754016,-0.498158,3719.234614,1.468729,3354.845905,12.489820,17.592534,-2.113940,Yahoo Finance via yfinance,1.389822,3.755571,4.206038,2.555207,10.846191,0.476435,3.760338,0.415488,4.678759,-1.338683,11.332420
2021-02-03,2021-02-02,2021-02-03T00:00:00Z,59.200000,greed,-1.266667,,,,,Tuesday,2021-02-02,0,True,Tuesday,^GSPC,3791.840088,3843.090088,3791.840088,3826.310059,3826.310059,5514090000,3773.860107,1.389822,0.476435,0.909057,1.358026,1.389822,-0.605516,0.721263,3.395624,11.118827,17.771756,3799.037024,0.717893,3724.405015,2.736143,3359.604655,13.891676,17.278770,-0.753498,Yahoo Finance via yfinance,0.100877,2.219369,2.744681,-0.172231,10.066099,-0.251682,2.405452,-0.960979,3.243853,-2.691104,10.257133
2021-02-04,2021-02-03,2021-02-04T00:00:00Z,61.066667,greed,1.866667,,,,,Wednesday,2021-02-03,0,True,Wednesday,^GSPC,3840.270020,3847.510010,3816.679932,3830.169922,3830.169922,4864870000,3826.310059,0.100877,0.364841,-0.263005,0.805739,0.100877,2.116896,-0.562851,2.772034,9.107664,16.150577,3804.202515,0.682598,3729.371011,2.702839,3364.639705,13.835960,17.163228,-0.653381,Yahoo Finance via yfinance,1.085332,2.081108,2.187894,-1.610893,9.164084,0.169444,2.645577,-2.789167,3.139809,-2.789167,10.146021
2021-02-05,2021-02-04,2021-02-05T00:00:00Z,68.000000,greed,6.933333,,58.426667,,,Thursday,2021-02-04,0,True,Thursday,^GSPC,3836.659912,3872.419922,3836.659912,3871.739990,3871.739990,4879240000,3830.169922,1.085332,0.169444,0.914339,0.933640,1.085332,2.227400,0.484547,3.297638,10.323586,16.104947,3810.382520,1.610271,3735.655010,3.642868,3370.315604,14.877669,17.428639,0.000000,Yahoo Finance via yfinance,0.389750,1.152967,0.903211,-0.769681,8.288784,0.082390,1.543492,-3.832899,2.032418,-3.832899,8.963407
2021-02-08,2021-02-07,2021-02-08T00:00:00Z,72.866667,greed,4.866667,29.466667,64.320000,,,Sunday,2021-02-05,2,False,Friday,^GSPC,3878.300049,3894.560059,3874.929932,3886.830078,3886.830078,4879470000,3871.739990,0.389750,0.169434,0.219942,0.507010,0.389750,4.646713,1.180801,2.183087,9.472753,16.171118,3814.534521,1.895265,3741.839810,3.874839,3375.753204,15.139640,16.751770,0.000000,Yahoo Finance via yfinance,0.739935,1.234940,-0.265771,-1.684663,7.147986,-0.048629,1.296684,-4.206255,1.636291,-4.206255,8.540371
2021-02-09,2021-02-08,2021-02-09T00:00:00Z,75.400000,extreme greed,2.533333,14.933333,67.306667,,,Monday,2021-02-08,0,True,Monday,^GSPC,3892.590088,3915.770020,3892.590088,3915.590088,3915.590088,4648360000,3886.830078,0.739935,0.148193,0.590866,0.596371,0.739935,3.755571,1.562240,2.376935,10.437369,17.666207,3819.080029,2.527050,3747.443413,4.486970,3381.342155,15.799878,16.831087,0.000000,Yahoo Finance via yfinance,-0.111353,0.434162,-0.873942,-1.025392,6.435805,-0.782772,0.889773,-4.909860,0.889773,-4.909860,7.743142
2021-02-10,2021-02-09,2021-02-10T00:00:00Z,75.266667,extreme greed,-0.133333,16.066667,70.520000,,,Tuesday,2021-02-09,0,True,Tuesday,^GSPC,3910.489990,3918.350098,3902.639893,3911.229980,3911.229980,4568320000,3915.590088,-0.111353,-0.130251,0.018923,0.401222,-0.111353,2.219369,1.600414,2.937666,9.476695,16.680336,3824.661023,2.263441,3753.075015,4.214010,3386.714604,15.487440,16.606666,-0.111353,Yahoo Finance via yfinance,-0.034518,0.513907,0.363056,-0.317545,7.424522,-0.672168,1.002241,-4.803857,1.002241,-4.803857,7.863250
2021-02-11,2021-02-10,2021-02-11T00:00:00Z,76.000000,extreme greed,0.733333,14.933333,73.506667,,,Wednesday,2021-02-10,0,True,Wednesday,^GSPC,3920.780029,3931.500000,3884.939941,3909.879883,3909.879883,4837070000,3911.229980,-0.034518,0.244170,-0.278010,1.190420,-0.034518,2.081108,4.242059,2.859366,10.541951,16.443448,3830.095520,2.083091,3758.505610,4.027512,3391.871604,15.272049,16.615456,-0.145833,Yahoo Finance via yfinance,0.166246,0.104609,-2.059905,0.753481,8.253968,-0.635566,1.037118,-4.770985,1.288790,-4.770985,8.393101
2021-02-12,2021-02-11,2021-02-12T00:00:00Z,77.666667,extreme greed,1.666667,9.666667,75.440000,,,Thursday,2021-02-11,0,True,Thursday,^GSPC,3916.399902,3925.989990,3890.389893,3916.379883,3916.379883,4590960000,3909.879883,0.166246,0.166758,-0.000511,0.910516,0.166246,1.152967,3.406049,2.796437,9.238944,15.888087,3835.422510,2.110781,3764.400610,4.037277,3397.136554,15.284735,16.612903,0.000000,Yahoo Finance via yfinance,0.471103,-0.246910,-2.686920,0.688396,6.946474,-0.800480,0.869427,-4.929037,1.120681,-4.929037,8.213201
2021-02-16,2021-02-15,2021-02-16T00:00:00Z,73.933333,greed,-3.733334,1.066666,75.653333,,,Monday,2021-02-12,3,False,Friday,^GSPC,3911.649902,3937.229980,3905.780029,3934.830078,3934.830078,4135060000,3916.379883,0.471103,-0.120774,0.592593,0.803036,0.471103,1.234940,5.939037,3.669835,8.489876,16.624189,3842.387012,2.405876,3769.848213,4.376353,3402.113154,15.658413,16.533981,0.000000,Yahoo Finance via yfinance,-0.056927,-1.482404,-0.838918,0.866870,5.521713,-1.527896,0.396456,-5.374819,0.895846,-5.374819,7.705796
2021-02-17,2021-02-16,2021-02-17T00:00:00Z,70.200000,greed,-3.733333,-5.200000,74.613333,,,Tuesday,2021-02-16,0,True,Tuesday,^GSPC,3939.610107,3950.429932,3923.850098,3932.590088,3932.590088,5058990000,3934.830078,-0.056927,0.121480,-0.178191,0.675501,-0.056927,0.434162,4.206038,4.361178,8.950197,16.343315,3850.604016,2.129174,3775.119814,4.171266,3407.213955,15.419523,16.217569,-0.056927,Yahoo Finance via yfinance,-0.032040,-1.302449,-1.584199,0.765904,3.317151,-3.229424,0.025938,-5.320921,1.232011,-5.320921,7.767144
