fold,target,horizon,training_rows,realized_rows,actual_up_rate,mean_actual,mean_prediction,brier_score,log_loss,mae,rmse
2024,p_up_5d,5,729,252,0.6349206349206349,,0.5403273471196209,0.2404587023464819,0.6730736544039599,,
2024,return_5d,5,729,252,,0.003872768365974413,0.0005707424292356164,,,0.013132301103872026,0.01703738211258056
2024,p_up_20d,20,714,252,0.7817460317460317,,0.5743848363363083,0.21735150217386098,0.6252589815077602,,
2024,return_20d,20,714,252,,0.017123731908082546,0.004396899615787722,,,0.025047991487866815,0.02972558245176383
2024,p_up_60d,60,674,252,0.876984126984127,,0.6325992230142313,0.19530786822169255,0.578459965897965,,
2024,return_60d,60,674,252,,0.04057878727285649,0.012566915050888862,,,0.04353666275672618,0.052588338146549646
2024,drawdown_20d,20,714,252,,-0.02239760083834404,-0.029993000887432838,,,0.018388078620781134,0.022116110724667373
2025,p_up_5d,5,981,250,0.628,,0.6006024905820412,0.2656577166840068,0.7283476312699841,,
2025,return_5d,5,981,250,,0.0030015826954164753,0.0036756041241638115,,,0.015959567063033087,0.02313719028488847
2025,p_up_20d,20,966,250,0.756,,0.6715081065379148,0.254799668448583,0.7188038033428422,,
2025,return_20d,20,966,250,,0.012384803160695373,0.010208847964531568,,,0.035834297432905844,0.04858877957872055
2025,p_up_60d,60,926,250,0.768,,0.7365275805238598,0.2705252057776525,0.7731734570879796,,
2025,return_60d,60,926,250,,0.037949191403858246,0.026670160109914662,,,0.071627787978825,0.0920079238768192
2025,drawdown_20d,20,966,250,,-0.0321766644171055,-0.03135429939230195,,,0.02877568130886773,0.0396984971982856
2026_ytd,p_up_5d,5,1231,152,0.5986842105263158,,0.6015759411976912,0.23945778106675822,0.6714647882012225,,
2026_ytd,return_5d,5,1231,152,,0.003606306754589761,0.0020993925808186994,,,0.013783540792165346,0.01759384531688396
2026_ytd,p_up_20d,20,1216,137,0.583941605839416,,0.7257016508444316,0.29850404761963273,0.8195887514049665,,
2026_ytd,return_20d,20,1216,137,,0.014305709930289423,0.011657002276930015,,,0.033929771279842,0.041580127971020134
2026_ytd,p_up_60d,60,1176,97,0.9072164948453608,,0.8036229785874403,0.1056589587882742,0.37188176387808464,,
2026_ytd,return_60d,60,1176,97,,0.06345833429021713,0.03929972137600098,,,0.0399149466586973,0.04878654749877893
2026_ytd,drawdown_20d,20,1216,137,,-0.027285582783596385,-0.029451269514378178,,,0.01815064494007592,0.023230338837119256
