feature,category,training_to_test_sign_reversals,adjacent_test_fold_sign_transitions,available_test_association_folds,test_spearman_range,test_spearman_std,mean_ks_statistic,max_abs_standardized_mean_difference,max_abs_missing_rate_delta
fear_greed,fear_greed,1,2,3,0.2785257636005679,0.12322800965441882,0.17172080658212904,0.5485514691454526,0.0
fg_change_1,fear_greed,2,1,3,0.19244614056526765,0.08221068423524235,0.047944971920117485,0.05115209984521943,0.0014005602240896359
fg_change_3,fear_greed,3,1,3,0.33257309397962553,0.13983723420940478,0.0719701638163023,0.07719635535702103,0.004201680672268907
fg_change_5,fear_greed,3,1,3,0.38674104804913,0.18225954612687403,0.07283489536248473,0.09172484531345523,0.0070028011204481795
fg_change_10,fear_greed,2,1,3,0.4940164088699893,0.22019820866093,0.09564166417996489,0.11352354560063303,0.014005602240896359
fg_min_5,fear_greed,1,2,3,0.3759983790174971,0.15500948128809605,0.20673218768234158,0.5761344673198854,0.0014005602240896359
fg_max_5,fear_greed,2,1,3,0.3325470361418283,0.13683485356589734,0.19383384612299015,0.5803918136942013,0.0014005602240896359
fg_distance_from_min_5,fear_greed,3,1,3,0.29619971170559867,0.13182906324632637,0.05981657595318315,0.13028583736035906,0.0014005602240896359
fg_distance_from_max_5,fear_greed,3,1,3,0.2294814175761914,0.1046763806765912,0.07034084936573905,0.05933913484587816,0.0014005602240896359
fg_min_20,fear_greed,1,2,3,0.8418128460898977,0.3579195006668479,0.2718621485078487,0.7344984410460342,0.012605042016806723
fg_max_20,fear_greed,2,1,3,0.5637137781433385,0.24150946330462897,0.2660349931844522,0.5809048280470264,0.012605042016806723
fg_distance_from_min_20,fear_greed,2,2,3,0.4901393280731418,0.2126906205221627,0.11766437312301636,0.19372015523802066,0.012605042016806723
fg_distance_from_max_20,fear_greed,2,1,3,0.4842299597213655,0.2032972928248291,0.0961313356174842,0.1729524758809794,0.012605042016806723
fg_percentile_60,fear_greed,2,0,3,0.12869718438194674,0.053003096675621315,0.07921663935771454,0.19516018708950233,0.0196078431372549
fg_percentile_252,fear_greed,1,2,3,0.2966050906336332,0.13771768928883604,0.14007695071422113,0.1920237801003348,0.08683473389355742
fg_acceleration_1_vs_5,fear_greed,2,2,3,0.10230308579303357,0.04358190858395629,0.05972807094378674,0.01900019942445161,0.0070028011204481795
