experiment_id,model_name,full_candidate,classification_cells,classification_mean_brier,classification_mean_log_loss,classification_mean_ece,classification_mean_relative_brier_improvement,classification_positive_relative_brier_cells,classification_positive_relative_brier_folds,return_cells,return_mean_mae,return_mean_rmse,return_mean_spearman,return_positive_spearman_cells,return_positive_spearman_folds,drawdown_cells,drawdown_mean_mae,drawdown_mean_rmse,drawdown_mean_spearman,drawdown_positive_spearman_folds,classification_lane_score,classification_rank,return_lane_score,return_rank,drawdown_lane_score,drawdown_rank,overall_full_candidate_score,overall_full_candidate_rank,promotion_ready,promotion_gate_reason,status,context_source
BASE-EXP-001,logistic_l2_v1 [baseline],False,9,0.28077767377146706,0.8625678386121719,0.23273436645421391,-0.6212428503544066,0,0,0,,,,0,0,0,,,,0,0.4,3.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY,combined_ablation
BASE-EXP-002,ridge_return_v1 [baseline],False,0,,,,,0,0,9,0.04128591848736391,0.0528109497151636,-0.15401692323548746,1,1,0,,,,0,,,1.0,6.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY,combined_ablation
BASE-EXP-003,hist_gradient_boosting_v1 [baseline],True,9,0.32070481693766023,0.9722580116900159,0.3025537598852711,-0.8278651960210797,0,0,9,0.03830370290410448,0.04782571461755257,-0.0706536938677661,4,2,3,0.02844447809577773,0.0359714505556468,-0.14659063147588713,1,1.0,6.0,0.6,4.0,1.0,4.0,0.8666666666666667,4.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY,combined_ablation
BASE-EXP-004,random_forest_v1 [baseline],True,9,0.23196905012521585,0.6622280885549738,0.18395890449722846,-0.2932141213559629,1,0,9,0.03252965183932593,0.041227301915333886,-0.10007883117207171,4,2,3,0.021771468289908235,0.0283483155866907,0.0006447247615613318,1,0.2,2.0,0.4,3.0,0.0,1.0,0.20000000000000004,2.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;return_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY,combined_ablation
COMBO-EXP-001,logistic_l2_v1 [+retained combined],False,9,0.2682861843683023,1.5008120408207064,0.2604014655333355,-0.4985460190207558,0,0,0,,,,0,0,0,,,,0,0.8,5.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY,combined_ablation
COMBO-EXP-002,ridge_return_v1 [+retained combined],False,0,,,,,0,0,9,0.07217429616244142,0.08339777738436674,0.05804033572654627,4,3,0,,,,0,,,0.8,5.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY,combined_ablation
COMBO-EXP-003,hist_gradient_boosting_v1 [+retained combined],True,9,0.26755983789597954,0.9109231337740036,0.25227995247525736,-0.45435631122877734,0,0,9,0.032308035557691225,0.041063900267188244,0.09431679705400094,5,2,3,0.025027907716829098,0.03319645014805394,-0.1169257786879316,1,0.4,3.0,0.0,1.0,0.6666666666666666,3.0,0.35555555555555557,3.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;drawdown_rank_correlation_nonpositive;drawdown_signal_not_robust_across_folds,NOT_PROMOTION_READY,combined_ablation
COMBO-EXP-004,random_forest_v1 [+retained combined],True,9,0.2244755120622323,0.6603086601314394,0.1882344072136095,-0.2517770902934112,0,0,9,0.030423848576289506,0.03862298679609357,0.031028941496399825,4,2,3,0.02144257880785327,0.028583707166422334,-0.0144494953690442,2,0.0,1.0,0.0,1.0,0.3333333333333333,2.0,0.1111111111111111,1.0,False,classification_worse_than_base_rate;classification_not_robust_across_folds;drawdown_rank_correlation_nonpositive,NOT_PROMOTION_READY,combined_ablation
RS-EXP-001,logistic_l2_v1 [+QQQ/SPY],False,9,0.2846531069856389,0.863665091459836,0.241146371771092,-0.659406678111435,0,0,0,,,,0,0,0,,,,0,0.6,4.0,,,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY,relative_strength
RS-EXP-002,ridge_return_v1 [+QQQ/SPY],False,0,,,,,0,0,9,0.0420741116126691,0.0534679778932038,-0.1199439223412473,3,1,0,,,,0,,,1.0,6.0,,,,,False,incomplete_output_interface,NOT_PROMOTION_READY,relative_strength
